genres,id,original_language,release_date,title,vote_average
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",264644,en,2015-10-16,Room,8.1
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",357837,cs,2015-10-16,Dancin' It's On,4.3
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",106845,en,2015-10-16,Re-Kill,4.9
"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 27, ""name"": ""Horror""}]",356483,en,2015-10-16,Unnatural,4.3
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",364083,en,2015-10-16,Mi America,0
"[{""id"": 27, ""name"": ""Horror""}]",157422,en,2015-10-16,The Wicked Within,4.2
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10749, ""name"": ""Romance""}]",23069,en,1974-10-17,Benji,6.1
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",17264,en,1979-10-17,The Black Stallion,7
"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}, {""id"": 18, ""name"": ""Drama""}]",9588,en,1990-10-17,Quigley Down Under,6.5
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",468,en,1991-10-17,My Own Private Idaho,7.1
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",1813,en,1997-10-17,The Devil's Advocate,7.2
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",3597,en,1997-10-17,I Know What You Did Last Summer,5.6
"[{""id"": 18, ""name"": ""Drama""}]",866,en,2004-10-17,Finding Neverland,7.2
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",4513,en,2007-10-17,30 Days of Night,6.2
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",8944,en,2008-10-17,What Just Happened,5.2
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",10523,en,2008-10-17,W.,6.1
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}, {""id"": 36, ""name"": ""History""}]",14582,en,2008-10-17,Passchendaele,6.3
"[{""id"": 99, ""name"": ""Documentary""}, {""id"": 10751, ""name"": ""Family""}]",36970,en,2009-10-17,Oceans,7.3
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10752, ""name"": ""War""}]",10313,en,2009-10-17,The Men Who Stare at Goats,5.9
"[{""id"": 18, ""name"": ""Drama""}]",75900,en,2011-10-17,My Week with Marilyn,6.6
"[{""id"": 27, ""name"": ""Horror""}]",82990,en,2012-10-17,Paranormal Activity 4,5.2
"[{""id"": 10402, ""name"": ""Music""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",244403,en,2014-10-17,Rudderless,7.4
"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",1725,en,1961-10-18,West Side Story,7
"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",819,en,1996-10-18,Sleepers,7.3
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",10218,en,1996-10-18,Swingers,6.8
"[{""id"": 99, ""name"": ""Documentary""}]",15800,en,1997-10-18,Trekkies,6.3
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",10047,fr,1999-10-18,The Messenger: The Story of Joan of Arc,6.2
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",14112,en,2002-10-18,Auto Focus,6.1
"[{""id"": 10752, ""name"": ""War""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",3683,en,2006-10-18,Flags of Our Fathers,6.7
"[{""id"": 99, ""name"": ""Documentary""}]",79161,en,2006-10-18,51 Birch Street,6.8
"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]",94348,en,2012-10-18,Alex Cross,5.1
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",76203,en,2013-10-18,12 Years a Slave,7.9
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]",152747,en,2013-10-18,All Is Lost,6.6
"[{""id"": 18, ""name"": ""Drama""}]",242575,en,2013-10-18,"Guten Tag, Ramón",8.1
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",3083,en,1939-10-19,Mr. Smith Goes to Washington,7.9
"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",40160,en,1979-10-19,Meteor,5.1
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",21512,en,1989-10-19,The Blood of Heroes,5.9
"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",1636,en,2000-10-19,Bedazzled,5.6
"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2100,en,2001-10-19,The Last Castle,7
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",11091,en,2001-10-19,Riding in Cars with Boys,6.5
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",768,en,2001-10-19,From Hell,6.6
"[{""id"": 99, ""name"": ""Documentary""}, {""id"": 18, ""name"": ""Drama""}]",1435,en,2003-10-19,Tarnation,7.5
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",1124,en,2006-10-19,The Prestige,8
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",34653,en,2009-10-19,A Single Man,7.3
"[{""id"": 27, ""name"": ""Horror""}]",72571,en,2011-10-19,Paranormal Activity 3,5.9
"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 9648, ""name"": ""Mystery""}]",362765,en,2014-10-19,The Sound and the Shadow,0
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",43884,en,1936-10-20,The Charge of the Light Brigade,6.8
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",9549,en,1983-10-20,The Right Stuff,7.3
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",8012,en,1995-10-20,Get Shorty,6.4
"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}]",2293,en,1995-10-20,Mallrats,6.8
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 27, ""name"": ""Horror""}]",8814,en,2005-10-20,Doom,5
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",6963,en,2005-10-20,The Weather Man,6
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",1593,en,2006-10-20,Night at the Museum,6.3
"[{""id"": 18, ""name"": ""Drama""}]",14012,en,2006-10-20,Flicka,6.1
"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",14624,en,2006-10-20,The Ultimate Gift,6.8
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",8461,en,2007-10-20,Funny Games,6.3
"[{""id"": 18, ""name"": ""Drama""}]",45958,es,2010-10-20,Biutiful,7
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",48034,fr,2010-10-20,Little White Lies,7.1
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",41436,en,2010-10-20,Paranormal Activity 2,5.7
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",167073,en,2015-10-20,Brooklyn,7.2
"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10751, ""name"": ""Family""}]",371690,en,2015-10-20,Rotor DR1,4.7
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",11113,en,1964-10-21,My Fair Lady,7.4
"[{""id"": 18, ""name"": ""Drama""}]",8416,it,1970-10-21,The Conformist,7.6
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",11336,en,1983-10-21,The Dead Zone,6.9
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",746,en,1987-10-21,The Last Emperor,7.4
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",11357,en,1988-10-21,Halloween 4: The Return of Michael Myers,5.9
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",100975,en,1999-10-21,Just Looking,5.8
"[{""id"": 99, ""name"": ""Documentary""}, {""id"": 35, ""name"": ""Comedy""}]",9012,en,2002-10-21,Jackass: The Movie,6.1
"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",11283,en,2005-10-21,Nanny McPhee,6.4
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2610,en,2005-10-21,Shopgirl,5.7
"[{""id"": 18, ""name"": ""Drama""}]",14631,en,2005-10-21,The Work and the Glory II: American Zion,8
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",73511,en,2005-10-21,The Californians,4
"[{""id"": 10402, ""name"": ""Music""}]",60463,en,2008-10-21,Sunday School Musical,5.5
"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}]",48620,en,2009-10-21,The Mighty Macs,5
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 80, ""name"": ""Crime""}]",41439,en,2010-10-21,Saw: The Final Chapter,5.8
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 53, ""name"": ""Thriller""}]",61891,en,2011-10-21,Anonymous,6.3
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",50837,en,2011-10-21,Martha Marcy May Marlene,6.7
"[{""id"": 27, ""name"": ""Horror""}]",402515,pt,2014-10-21,American Beast,0
"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",274854,en,2015-10-21,The Last Witch Hunter,5.7
"[{""id"": 37, ""name"": ""Western""}]",13909,en,1949-10-22,She Wore a Yellow Ribbon,7.1
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",1368,en,1982-10-22,First Blood,7.2
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}]",10676,en,1982-10-22,Halloween III: Season of the Witch,5
"[{""id"": 18, ""name"": ""Drama""}]",8649,en,1999-10-22,Bringing Out the Dead,6.6
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",44857,en,1999-10-22,Molly,5.5
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",10563,en,1999-10-22,Three to Tango,5.4
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",31306,en,1999-10-22,Crazy in Alabama,6.5
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",16162,en,1999-10-22,The Best Man,6.8
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",10496,en,1999-10-22,Bats,4.1
"[{""id"": 99, ""name"": ""Documentary""}]",14271,en,1999-10-22,Beyond the Mat,7.8
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",167,en,2001-10-22,K-PAX,7.1
"[{""id"": 35, ""name"": ""Comedy""}]",8849,en,2004-10-22,Alfie,5.6
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",9675,en,2004-10-22,Sideways,6.9
"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",11109,en,2004-10-22,Vera Drake,6.8
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",1970,en,2004-10-22,The Grudge,5.8
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 27, ""name"": ""Horror""}]",168705,en,2005-10-22,BloodRayne,3.5
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",11619,en,2006-10-22,Flushed Away,6
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",4515,en,2007-10-22,Lions for Lambs,6
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",11887,en,2008-10-22,High School Musical 3: Senior Year,6.2
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}]",22804,en,2009-10-22,Saw VI,6
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 10749, ""name"": ""Romance""}]",27588,en,2009-10-22,Forget Me Not,5
"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}]",107315,en,2011-10-22,Below Zero,4.4
"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",98568,en,2011-10-22,Enter Nowhere,6.5
"[{""id"": 35, ""name"": ""Comedy""}]",208134,en,2013-10-22,Bad Grandpa,6
"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",360339,en,2015-10-22,Eden,5.6
"[{""id"": 35, ""name"": ""Comedy""}]",16096,en,1991-10-23,House Party 2,4.7
"[{""id"": 28, ""name"": ""Action""}, {""id"": 10752, ""name"": ""War""}, {""id"": 878, ""name"": ""Science Fiction""}]",9425,en,1998-10-23,Soldier,6.1
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",1808,en,1998-10-23,Velvet Goldmine,6.9
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",9821,en,1998-10-23,The Mighty,7.1
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10752, ""name"": ""War""}]",9839,en,2003-10-23,Beyond Borders,6.7
"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",4997,en,2003-10-23,Wonderland,6.2
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",11917,en,2008-10-23,Saw V,5.9
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",10315,en,2009-10-23,Fantastic Mr. Fox,7.5
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",24418,en,2009-10-23,Cirque du Freak: The Vampire's Assistant,5.5
"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",80274,en,2013-10-23,Ender's Game,6.6
"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",242582,en,2014-10-23,Nightcrawler,7.6
[],365052,en,2015-10-23,The Looking Glass,7
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10402, ""name"": ""Music""}]",24961,en,1978-10-24,The Wiz,5.9
"[{""id"": 35, ""name"": ""Comedy""}]",4256,en,2003-10-24,Scary Movie 3,5.8
"[{""id"": 18, ""name"": ""Drama""}]",13920,en,2003-10-24,Radio,6.8
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 80, ""name"": ""Crime""}]",30141,en,2003-10-24,The Singing Detective,5.9
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",1656,en,2005-10-24,The Legend of Zorro,5.9
"[{""id"": 18, ""name"": ""Drama""}]",4960,en,2008-10-24,"Synecdoche, New York",7.4
"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10769, ""name"": ""Foreign""}]",20653,en,2008-10-24,Roadside Romeo,6.7
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",177572,en,2014-10-24,Big Hero 6,7.8
"[{""id"": 27, ""name"": ""Horror""}]",242512,en,2014-10-24,Ouija,4.9
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",948,en,1978-10-25,Halloween,7.4
"[{""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",11507,en,1984-10-25,Body Double,6.4
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",29463,en,1985-10-25,Krush Groove,7
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1770,en,1996-10-25,Michael Collins,6.7
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",10280,en,1996-10-25,Thinner,5.5
"[{""id"": 18, ""name"": ""Drama""}]",11457,en,2001-10-25,Life as a House,7.2
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",8051,en,2002-10-25,Punch-Drunk Love,6.9
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",9645,en,2002-10-25,Ghost Ship,5.3
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",45767,en,2002-10-25,Time Changer,5.2
"[{""id"": 18, ""name"": ""Drama""}]",49081,fr,2005-10-25,The Rocket: The Legend of Rocket Richard,6.1
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",663,en,2007-10-25,Saw IV,5.9
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 9648, ""name"": ""Mystery""}]",17578,en,2011-10-25,The Adventures of Tintin,6.7
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",37724,en,2012-10-25,Skyfall,6.9
"[{""id"": 18, ""name"": ""Drama""}]",82684,en,2012-10-25,Chasing Mavericks,7
"[{""id"": 35, ""name"": ""Comedy""}]",82679,en,2012-10-25,Fun Size,5.5
"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",109091,en,2013-10-25,The Counselor,5
"[{""id"": 18, ""name"": ""Drama""}]",209274,pl,2013-10-25,Ida,7.1
"[{""id"": 36, ""name"": ""History""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}]",33157,en,1970-10-26,Waterloo,7
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10402, ""name"": ""Music""}]",279,en,1984-10-26,Amadeus,7.8
"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",218,en,1984-10-26,The Terminator,7.3
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",9378,en,2001-10-26,Thir13en Ghosts,5.4
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10749, ""name"": ""Romance""}]",34043,en,2001-10-26,On the Line,4.1
"[{""id"": 18, ""name"": ""Drama""}]",2841,fr,2004-10-26,A Very Long Engagement,7.1
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 10749, ""name"": ""Romance""}]",116,en,2005-10-26,Match Point,7.3
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",46829,en,2010-10-26,Barney's Version,7.2
"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",86304,en,2011-10-26,All Superheroes Must Die,4.2
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",83542,en,2012-10-26,Cloud Atlas,6.6
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",206647,en,2015-10-26,Spectre,6.3
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1710,en,1995-10-27,Copycat,6.4
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 10749, ""name"": ""Romance""}]",12158,en,1995-10-27,Vampire in Brooklyn,4.5
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",451,en,1995-10-27,Leaving Las Vegas,7.1
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",10783,en,2000-10-27,Lucky Numbers,4.9
"[{""id"": 10751, ""name"": ""Family""}, {""id"": 27, ""name"": ""Horror""}]",24100,en,2000-10-27,The Little Vampire,6.1
"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}]",11531,en,2000-10-27,Book of Shadows: Blair Witch 2,4.3
"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",641,en,2000-10-27,Requiem for a Dream,7.9
"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1123,en,2006-10-27,Catch a Fire,6.4
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",7510,en,2006-10-27,Running with Scissors,5.8
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",214,en,2006-10-27,Saw III,6.1
"[{""id"": 18, ""name"": ""Drama""}]",29697,en,2006-10-27,Faith Like Potatoes,6
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 27, ""name"": ""Horror""}]",23988,en,2009-10-27,Stan Helsing,4
"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",49530,en,2011-10-27,In Time,6.7
"[{""id"": 27, ""name"": ""Horror""}]",114635,en,2012-10-27,The Helpers,4.1
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",355629,en,2013-10-27,The Blade of Don Juan,0
"[{""id"": 10751, ""name"": ""Family""}]",447027,en,2015-10-27,Running Forever,0
"[{""id"": 27, ""name"": ""Horror""}]",323270,en,2015-10-27,The Horror Network Vol. 1,5
"[{""id"": 18, ""name"": ""Drama""}]",43266,en,1941-10-28,How Green Was My Valley,6.8
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",9008,en,1999-10-28,The Insider,7.3
"[{""id"": 27, ""name"": ""Horror""}]",215,en,2005-10-28,Saw II,6.3
"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",5559,en,2007-10-28,Bee Movie,5.7
"[{""id"": 10402, ""name"": ""Music""}, {""id"": 99, ""name"": ""Documentary""}]",13576,en,2009-10-28,This Is It,6.7
"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",27936,fr,2009-10-28,Micmacs,6.8
"[{""id"": 16, ""name"": ""Animation""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",38055,en,2010-10-28,Megamind,6.7
